Long_Desc                                                                    DHA
Toaster pastries, fruit, toasted (include apple, blueberry, cherry, st       0.0
Pie Crust, Cookie-type, Graham Cracker, Ready Crust                          0.0
Pie Crust, Cookie-type, Chocolate, Ready Crust                               0.0
Pie, Dutch Apple, Commercially Prepared                                      0.0
Crackers, whole-wheat, reduced fat                                           0.0
Crackers, wheat, reduced fat                                                 0.0
Bread, pan dulce, sweet yeast bread                                          0.0
Bread, cheese                                                                0.0
Crackers, snack, GOYA CRACKERS                                               0.0
Crackers, cream, GAMESA SABROSAS                                             0.0
Crackers, cream, LA MODERNA RIKIS CREAM CRACKERS                             0.0
Cinnamon buns, frosted (includes honey buns)                                 0.0
Crackers, cheese, reduced fat                                                0.0
Crackers, saltines, whole wheat (includes multi-grain)                       0.0
Bread, white wheat                                                           0.0
Bagels, wheat                                                                0.0
Tortillas, ready-to-bake or -fry, flour, shelf stable                        0.0
Bread, potato                                                                0.0
Rennin, chocolate, dry mix, prepared with whole milk                         0.0
Desserts, rennin, tablets, unsweetened                                       0.0
Cornmeal, degermed, enriched, white                                          0.0
Bulgur, dry                                                                  0.0
Corn bran, crude                                                             0.0
Corn flour, whole-grain, yellow                                              0.0
Corn flour, masa, enriched, white                                            0.0
Corn flour, yellow, degermed, unenriched                                     0.0
Corn flour, masa, unenriched, white                                          0.0
Cornmeal, whole-grain, yellow                                                0.0
Cornmeal, degermed, enriched, yellow                                         0.0
Cornstarch                                                                   0.0
Couscous, cooked                                                             0.0
Hominy, canned, white                                                        0.0
Millet, cooked                                                               0.0
Oat bran, raw                                                                0.0
Rice, brown, long-grain, raw (Oryza sativa L.)                               0.0
Rice, brown, long-grain, cooked                                              0.0
Rice, brown, parboiled, dry, UNCLE BEN'S                                     0.0
Rice, white, long-grain, regular, raw, enriched                              0.0
Rice, white, long-grain, regular, enriched, cooked                           0.0
Rice, white, long-grain, parboiled, enriched, dry                            0.0
Rice, white, long-grain, parboiled, enriched, cooked                         0.0
Rice, white, long-grain, precooked or instant, enriched, dry                 0.0
Rice, white, long-grain, precooked or instant, enriched, prepared            0.0
Bulgur, cooked                                                               0.0
Buckwheat flour, whole-groat                                                 0.0
Rice bran, crude                                                             0.0
Buckwheat groats, roasted, cooked                                            0.0
Chocolate, dark, 60-69% cacao solids                                         0.0
Chocolate, dark, 70-85% cacao solids                                         0.0
Candies, chocolate, dark, NFS (45-59% cacao solids 90%; 60-69% cacao s       0.0
Candies, crispy bar with peanut butter filling                               0.0
Sweetener, syrup, agave                                                      0.0
Candies, NESTLE, BUTTERFINGER Crisp                                          0.0
Candies, M&M MARS 3 MUSKETEERS Truffle Crisp                                 0.0
Syrups, chocolate, HERSHEY'S Sugar free, Genuine Chocolate Flavored, L       0.0
Candies, M&M MARS Pretzel Chocolate Candies                                  0.0
Sweetener, herbal extract powder from Stevia leaf                            0.0
Candies, fruit snacks, with high vitamin C                                   0.0
Jams, preserves, marmalades, sweetened with fruit juice                      0.0
Candies, Tamarind                                                            0.0
Candies, coconut bar, not chocolate covered                                  0.0
Candies, HERSHEYS, PAYDAY Bar                                                0.0
Syrup, NESTLE, chocolate                                                     0.0
Barley, hulled (Hordeum vulgare L.)                                          0.0
Barley, pearled, raw                                                         0.0
Barley, pearled, cooked                                                      0.0
Buckwheat (Fagopyrum esculentum Moench)                                      0.0
Buckwheat groats, roasted, dry                                               0.0
Rice, white, glutinous, unenriched, cooked                                   0.0
Rice flour, white, unenriched                                                0.0
Noodles, egg, dry, enriched                                                  0.0
Noodles, egg, spinach, enriched, cooked                                      0.0
Noodles, chinese, chow mein                                                  0.0
Frozen yogurts, chocolate, nonfat milk, sweetened without sugar              0.0
Candies, MARS SNACKFOOD US, TWIX chocolate fudge cookie bars                 0.0
Noodles, japanese, somen, dry                                                0.0
Noodles, flat, crunchy, Chinese restaurant                                   0.0
Pasta, dry, enriched                                                         0.0
Pasta, cooked, enriched, without added salt                                  0.0
Pasta, whole-wheat, dry                                                      0.0
Pasta, whole-wheat, cooked                                                   0.0
Spaghetti, spinach, dry                                                      0.0
Wheat flours, bread, unenriched                                              0.0
Barley flour or meal                                                         0.0
Barley malt flour                                                            0.0
Oat flour, partially debranned                                               0.0
Rice noodles, dry                                                            0.0
Rice noodles, cooked                                                         0.0
Pasta, whole grain, 51% whole wheat, remaining unenriched semolina, dr       0.0
Pasta, whole grain, 51% whole wheat, remaining unenriched semolina, co       0.0
Corn flour, whole-grain, white                                               0.0
Cornmeal, whole-grain, white                                                 0.0
Pasta, cooked, enriched, with added salt                                     0.0
Noodles, egg, enriched, cooked                                               0.0
Macaroni, vegetable, enriched, cooked                                        0.0
Rye grain (Secale cereale L.)                                                0.0
Rye flour, dark                                                              0.0
Rye flour, medium                                                            0.0
Rye flour, light                                                             0.0
Semolina, enriched                                                           0.0
Tapioca, pearl, dry                                                          0.0
Wheat, hard red spring (Triticum aestivum L.)                                0.0
Wheat, hard red winter (Triticum aestivum L.)                                0.0
Wheat, hard white (Triticum aestivum L.)                                     0.0
Wheat, soft white (Triticum aestivum L.)                                     0.0
Wheat bran, crude                                                            0.0
Wheat flour, whole-grain                                                     0.0
Wheat flour, white, all-purpose, enriched, bleached                          0.0
Wheat flour, white, all-purpose, self-rising, enriched                       0.0
Wheat flour, white, bread, enriched                                          0.0
Wheat flour, white, cake, enriched                                           0.0
Wheat, sprouted                                                              0.0
Wild rice, raw (Zizania spp.)                                                0.0
Wild rice, cooked                                                            0.0
Pasta, gluten-free, corn, dry                                                0.0
Pasta, gluten-free, corn, cooked                                             0.0
Chocolate, dark, 45- 59% cacao solids                                        0.0
Frozen novelties, ice type, lime                                             0.0
Frozen novelties, ice type, pop                                              0.0
Frozen yogurts, vanilla, soft-serve                                          0.0
Fruit butters, apple                                                         0.0
Honey                                                                        0.0
Jams and preserves                                                           0.0
Jellies                                                                      0.0
Candies, fudge, chocolate marshmallow, with nuts, prepared-by-recipe         0.0
Marmalade, orange                                                            0.0
Molasses                                                                     0.0
Pectin, unsweetened, dry mix                                                 0.0
Pie fillings, apple, canned                                                  0.0
Puddings, banana, dry mix, instant, prepared with whole milk                 0.0
Puddings, banana, dry mix, regular, prepared with whole milk                 0.0
Puddings, coconut cream, dry mix, instant                                    0.0
Puddings, coconut cream, dry mix, regular                                    0.0
Sugars, brown                                                                0.0
Sugars, granulated                                                           0.0
Sugars, powdered                                                             0.0
Sweeteners, tabletop, aspartame, EQUAL, packets                              0.0
Sugars, maple                                                                0.0
Syrups, chocolate, HERSHEY'S Genuine Chocolate Flavored Lite Syrup           0.0
Syrups, chocolate, fudge-type                                                0.0
Syrups, corn, dark                                                           0.0
Syrups, corn, light                                                          0.0
Frozen novelties, ice type, italian, restaurant-prepared                     0.0
Candies, milk chocolate coated coffee beans                                  0.0
Ice creams, regular, low carbohydrate, chocolate                             0.0
Frostings, chocolate, creamy, ready-to-eat                                   0.0
Frostings, coconut-nut, ready-to-eat                                         0.0
Frostings, cream cheese-flavor, ready-to-eat                                 0.0
Frostings, vanilla, creamy, ready-to-eat                                     0.0
Flan, caramel custard, dry mix, prepared with 2% milk                        0.0
Flan, caramel custard, dry mix, prepared with whole milk                     0.0
Puddings, vanilla, ready-to-eat, fat free                                    0.0
Puddings, tapioca, ready-to-eat, fat free                                    0.0
Puddings, chocolate, ready-to-eat, fat free                                  0.0
Frostings, chocolate, creamy, dry mix, prepared with butter                  0.0
Candies, HERSHEY, REESESTICKS crispy wafers, peanut butter, milk choco       0.0
Ice creams, vanilla, light, no sugar added                                   0.0
Frozen novelties, fruit and juice bars                                       0.0
Ice creams, chocolate, light, no sugar added                                 0.0
Candies, dark chocolate coated coffee beans                                  0.0
Ice creams, chocolate                                                        0.0
Syrups, corn, high-fructose                                                  0.0
Syrups, maple                                                                0.0
Syrups, sorghum                                                              0.0
Syrups, table blends, pancake, with 2% maple                                 0.0
Jams and preserves, apricot                                                  0.0
Candies, sugar-coated almonds                                                0.0
Cocoa, dry powder, hi-fat or breakfast, plain                                0.0
Cocoa, dry powder, hi-fat or breakfast, processed with alkali                0.0
Candies, soft fruit and nut squares                                          0.0
Ice creams, vanilla, fat free                                                0.0
Sweeteners, tabletop, sucralose, SPLENDA packets                             0.0
Frozen novelties, No Sugar Added, FUDGSICLE pops                             0.0
Candies, REESE's Fast Break, milk chocolate, peanut butter, soft nouga       0.0
Ice creams, regular, low carbohydrate, vanilla                               0.0
Candies, toffee, prepared-from-recipe                                        0.0
Syrups, table blends, cane and 15% maple                                     0.0
Toppings, butterscotch or caramel                                            0.0
Toppings, marshmallow cream                                                  0.0
Toppings, pineapple                                                          0.0
Toppings, nuts in syrup                                                      0.0
Candies, MARS SNACKFOOD US, SKITTLES Original Bite Size Candies              0.0
Frostings, vanilla, creamy, dry mix, prepared with margarine                 0.0
Frostings, chocolate, creamy, dry mix, prepared with margarine               0.0
Frostings, glaze, prepared-from-recipe                                       0.0
Candies, fudge, chocolate marshmallow, prepared-from-recipe                  0.0
Candies, taffy, prepared-from-recipe                                         0.0
Candies, divinity, prepared-from-recipe                                      0.0
Frostings, glaze, chocolate, prepared-from-recipe, with butter, NFSMI        0.0
Cereals ready-to-eat, POST, COCOA PEBBLES                                    0.0
Cereals ready-to-eat, POST, Honeycomb Cereal                                 0.0
Cereals ready-to-eat, GENERAL MILLS, HONEY NUT CHEERIOS                      0.0
Cereals ready-to-eat, POST, GRAPE-NUTS Flakes                                0.0
Cereals ready-to-eat, POST, GRAPE-NUTS Cereal                                0.0
Cereals ready-to-eat, granola, homemade                                      0.0
Cereals ready-to-eat, GENERAL MILLS, GOLDEN GRAHAMS                          0.0
Cereals ready-to-eat, POST, FRUITY PEBBLES                                   0.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTED RICE KRISPIES               0.0
Cereals ready-to-eat, KELLOGG'S FROSTED MINI-WHEATS, Big Bite                0.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S FROOT LOOPS                         0.0
Cereals ready-to-eat, POST Bran Flakes                                       0.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN COMPLETE Wheat Flake       0.0
Cereals ready-to-eat, RALSTON CRISP RICE                                     0.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S CRACKLIN' OAT BRAN                  0.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S Corn Flakes                         0.0
Cereals ready-to-eat, GENERAL MILLS, Corn CHEX                               0.0
Cereals ready-to-eat, QUAKER, QUAKER CRUNCHY BRAN                            0.0
Cereals ready-to-eat, QUAKER, KING VITAMAN                                   0.0
Cereals ready-to-eat, GENERAL MILLS, KIX                                     0.0
Cereals ready-to-eat, QUAKER, QUAKER OAT LIFE, plain                         0.0
Cereals ready-to-eat, QUAKER, QUAKER Puffed Rice                             0.0
Cereals ready-to-eat, GENERAL MILLS, Whole Grain TOTAL                       0.0
Cereals ready-to-eat, RALSTON TASTEEOS                                       0.0
Cereals ready-to-eat, POST, GOLDEN CRISP                                     0.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S HONEY SMACKS                        0.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTED FLAKES                      0.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S CORN POPS                           0.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K                           0.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S RICE KRISPIES                       0.0
Cereals ready-to-eat, GENERAL MILLS, LUCKY CHARMS                            0.0
Cereals ready-to-eat, GENERAL MILLS, Rice CHEX                               0.0
Cereals ready-to-eat, POST Raisin Bran Cereal                                0.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S RAISIN BRAN                         0.0
Cereals ready-to-eat, QUAKER, SWEET CRUNCH/QUISP                             0.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S PRODUCT 19                          0.0
Cereals ready-to-eat, GENERAL MILLS, Honey Nut CHEX                          0.0
Cereals ready-to-eat, QUAKER, 100% Natural Granola, Oats, Wheat and Ho       0.0
Cereals ready-to-eat, GENERAL MILLS, COOKIE CRISP                            0.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S COCOA KRISPIES                      0.0
Cereals ready-to-eat, GENERAL MILLS, CHEERIOS                                0.0
Cereals ready-to-eat, QUAKER, CAP'N CRUNCH'S PEANUT BUTTER CRUNCH            0.0
Cereals ready-to-eat, QUAKER, CAP'N CRUNCH with CRUNCHBERRIES                0.0
Cereals ready-to-eat, QUAKER, CAP'N CRUNCH                                   0.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN BRAN BUDS                  0.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S APPLE JACKS                         0.0
Cereals ready-to-eat, POST, ALPHA-BITS                                       0.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN Original                   0.0
Cereals ready-to-eat, GENERAL MILLS, TRIX                                    0.0
Cereals ready-to-eat, POST, Honey Nut Shredded Wheat                         0.0
Cereals ready-to-eat, GENERAL MILLS, Wheat CHEX                              0.0
Blueberries, frozen, sweetened                                               0.0
Cranberry sauce, canned, sweetened                                           0.0
Cranberries, dried, sweetened                                                0.0
Cranberries, raw (Vaccinium macrocarpon)                                     0.0
Cherries, sweet, frozen, sweetened                                           0.0
Cherries, sweet, canned, pitted, heavy syrup pack, solids and liquids        0.0
Cherries, sweet, canned, light syrup pack, solids and liquids                0.0
Cherries, sweet, canned, juice pack, solids and liquids                      0.0
Cherries, sweet, canned, water pack, solids and liquids                      0.0
Cherries, sweet, raw (Prunus avium)                                          0.0
Cherries, sour, red, frozen, unsweetened                                     0.0
Cherries, sour, red, canned, heavy syrup pack, solids and liquids            0.0
Cherries, sour, red, canned, water pack, solids and liquids (includes        0.0
Cherries, sour, red, raw (Prunus cerasus)                                    0.0
Cherimoya, raw (Annona cherimola)                                            0.0
Carambola, (starfruit), raw (Averrhoa carambola)                             0.0
Breadfruit, raw (Artocarpus altilis)                                         0.0
Boysenberries, frozen, unsweetened                                           0.0
Currants, red and white, raw (Ribes rubrum)                                  0.0
Currants, zante, dried (Vitis vinifera)                                      0.0
Dates, deglet noor (Phoenix dactylifera)                                     0.0
Fruit cocktail, (peach and pineapple and pear and grape and cherry), c       0.0
Grapefruit, raw, pink and red, Florida (Citrus paradisi)                     0.0
Grapefruit, raw, pink and red, all areas (Citrus paradisi)                   0.0
Grapefruit, raw, pink and red and white, all areas (Citrus paradisi)         0.0
Gooseberries, canned, light syrup pack, solids and liquids                   0.0
Gooseberries, raw (Ribes spp.)                                               0.0
Fruit salad, (peach and pear and apricot and pineapple and cherry), ca       0.0
Fruit cocktail, (peach and pineapple and pear and grape and cherry), c       0.0
Fruit cocktail, (peach and pineapple and pear and grape and cherry), c       0.0
Elderberries, raw (Sambucus spp.)                                            0.0
Fruit cocktail, (peach and pineapple and pear and grape and cherry), c       0.0
Figs, dried, stewed                                                          0.0
Figs, dried, uncooked                                                        0.0
Figs, canned, heavy syrup pack, solids and liquids                           0.0
Figs, canned, light syrup pack, solids and liquids                           0.0
Figs, canned, water pack, solids and liquids                                 0.0
Figs, raw (Ficus carica)                                                     0.0
Boysenberries, canned, heavy syrup (Rubus ursinus var. loganobaccus)         0.0
Blueberries, frozen, unsweetened                                             0.0
Grapefruit, sections, canned, water pack, solids and liquids                 0.0
Blueberries, canned, heavy syrup, solids and liquids                         0.0
Applesauce, canned, unsweetened, without added ascorbic acid (includes       0.0
Apple juice, frozen concentrate, unsweetened, diluted with 3 volume wa       0.0
Apple juice, frozen concentrate, unsweetened, undiluted, without added       0.0
Apple juice, canned or bottled, unsweetened, without added ascorbic ac       0.0
Apples, dried, sulfured, stewed, without added sugar                         0.0
Apples, dried, sulfured, uncooked                                            0.0
Apples, dehydrated (low moisture), sulfured, uncooked                        0.0
Apples, canned, sweetened, sliced, drained, heated                           0.0
Apples, canned, sweetened, sliced, drained, unheated                         0.0
Apples, raw, without skin, cooked, microwave                                 0.0
Apples, raw, without skin, cooked, boiled                                    0.0
Apples, raw, without skin (Malus domestica)                                  0.0
Apples, raw, with skin (Malus domestica)                                     0.0
Acerola juice, raw                                                           0.0
Acerola, (west indian cherry), raw (Malpighia emarginata)                    0.0
Cereals, oats, instant, fortified, maple and brown sugar, dry                0.0
Cereals ready-to-eat, BARBARA'S PUFFINS, original                            0.0
Applesauce, canned, sweetened, without salt (includes USDA commodity)        0.0
Apricots, raw (Prunus armeniaca)                                             0.0
Apricots, canned, water pack, with skin, solids and liquids                  0.0
Bananas, raw (Musa acuminata Colla)                                          0.0
Blueberries, raw (Vaccinium spp.)                                            0.0
Blackberries, frozen, unsweetened                                            0.0
Blackberries, canned, heavy syrup, solids and liquids                        0.0
Cherries, tart, dried, sweetened                                             0.0
Blackberry juice, canned                                                     0.0
Blackberries, raw (Rubus spp.)                                               0.0
Bananas, dehydrated, or banana powder                                        0.0
Avocados, raw, California (Persea americana)                                 0.0
Apricots, canned, juice pack, with skin, solids and liquids                  0.0
Avocados, raw, all commercial varieties (Persea americana)                   0.0
Apricot nectar, canned, without added ascorbic acid                          0.0
Apricots, frozen, sweetened                                                  0.0
Apricots, dried, sulfured, stewed, without added sugar                       0.0
Apricots, dried, sulfured, uncooked                                          0.0
Apricots, canned, heavy syrup pack, with skin, solids and liquids            0.0
Apricots, canned, light syrup pack, with skin, solids and liquids            0.0
Grapefruit, raw, white, all areas (Citrus paradisi)                          0.0
Grapefruit, sections, canned, juice pack, solids and liquids                 0.0
Cereals ready-to-eat, MALT-O-MEAL, CORN BURSTS                               0.0
Olives, ripe, canned (small-extra large) (Olea europaea)                     0.0
Tangerines, (mandarin oranges), canned, juice pack                           0.0
Tangerines, (mandarin oranges), raw (Citrus reticulata)                      0.0
Orange-grapefruit juice, canned or bottled, unsweetened                      0.0
Orange peel, raw                                                             0.0
Orange juice, frozen concentrate, unsweetened, diluted with 3 volume w       0.0
Orange juice, frozen concentrate, unsweetened, undiluted                     0.0
Orange juice, frozen concentrate, unsweetened, undiluted, with added c       0.0
Orange juice, frozen concentrate, unsweetened, diluted with 3 volume w       0.0
Orange juice, chilled, includes from concentrate, with added calcium         0.0
Orange juice, chilled, includes from concentrate, with added calcium a       0.0
Orange juice, chilled, includes from concentrate                             0.0
Orange juice, canned, unsweetened                                            0.0
Orange juice, raw                                                            0.0
Oranges, raw, with peel (Citrus sinensis)                                    0.0
Oranges, raw, Florida (Citrus sinensis)                                      0.0
Oranges, raw, all commercial varieties (Citrus sinensis)                     0.0
Olives, pickled, canned or bottled, green                                    0.0
Tangerines, (mandarin oranges), canned, light syrup pack                     0.0
Tangerine juice, raw                                                         0.0
Tangerine juice, canned, sweetened                                           0.0
Peaches, canned, light syrup pack, solids and liquids                        0.0
Peach nectar, canned, without added ascorbic acid                            0.0
Peaches, frozen, sliced, sweetened                                           0.0
Peaches, dried, sulfured, stewed, with added sugar                           0.0
Peaches, dried, sulfured, stewed, without added sugar                        0.0
Peaches, dried, sulfured, uncooked                                           0.0
Peaches, spiced, canned, heavy syrup pack, solids and liquids                0.0
Peaches, canned, heavy syrup pack, solids and liquids                        0.0
Peaches, canned, juice pack, solids and liquids                              0.0
Papayas, raw (Carica papaya)                                                 0.0
Peaches, canned, water pack, solids and liquids                              0.0
Peaches, yellow, raw (Prunus persica)                                        0.0
Passion-fruit juice, yellow, raw (Passiflora edulis f. flavicarpa)           0.0
Passion-fruit juice, purple, raw                                             0.0
Passion-fruit, (granadilla), purple, raw (Passiflora edulis)                 0.0
Papaya nectar, canned                                                        0.0
Papaya, canned, heavy syrup, drained                                         0.0
Olives, ripe, canned (jumbo-super colossal)                                  0.0
Nectarines, raw (Prunus persica var. nucipersica)                            0.0
Grapefruit, sections, canned, light syrup pack, solids and liquids           0.0
Mulberries, raw (Morus nigra)                                                0.0
Kumquats, raw (Fortunella spp.)                                              0.0
Kiwifruit, green, raw (Actinidia deliciosa)                                  0.0
Jackfruit, raw (Artocarpus heterophyllus)                                    0.0
Guava sauce, cooked                                                          0.0
Guavas, common, raw (Psidium guajava)                                        0.0
Grape juice, canned or bottled, unsweetened, without added ascorbic ac       0.0
Grapes, canned, thompson seedless, heavy syrup pack, solids and liquid       0.0
Grapes, canned, thompson seedless, water pack, solids and liquids            0.0
Grapes, red or green (European type, such as Thompson seedless), raw (       0.0
Grapes, american type (slip skin), raw (Vitis spp.)                          0.0
Grape juice, canned or bottled, unsweetened, with added ascorbic acid        0.0
Grapefruit juice, white, raw                                                 0.0
Grapefruit juice, pink or red, with added calcium                            0.0
Grapefruit juice, white, frozen concentrate, unsweetened, diluted with       0.0
Grapefruit juice, white, frozen concentrate, unsweetened, undiluted          0.0
Grapefruit juice, white, canned, sweetened                                   0.0
Grapefruit juice, white, canned or bottled, unsweetened                      0.0
Lemons, raw, without peel (Citrus limon)                                     0.0
Lemon juice, raw                                                             0.0
Lemon juice from concentrate, canned or bottled                              0.0
Loquats, raw (Eriobotrya japonica)                                           0.0
Melon balls, frozen                                                          0.0
Melons, honeydew, raw (Cucumis melo)                                         0.0
Melons, casaba, raw (Cucumis melo)                                           0.0
Melons, cantaloupe, raw (Cucumis melo)                                       0.0
Mango, dried, sweetened                                                      0.0
Mangos, raw (Mangifera indica)                                               0.0
Mammy-apple, (mamey), raw (Mammea americana)                                 0.0
Loganberries, frozen (Rubus ursinus var. loganobaccus)                       0.0
Lemon juice, frozen, unsweetened, single strength                            0.0
Litchis, dried                                                               0.0
Litchis, raw (Litchi chinensis)                                              0.0
Blueberries, dried, sweetened                                                0.0
Lime juice, canned or bottled, unsweetened                                   0.0
Lime juice, raw                                                              0.0
Limes, raw (Citrus latifolia)                                                0.0
Lemon peel, raw                                                              0.0
Cereals ready-to-eat, NATURE'S PATH, Organic FLAX PLUS flakes                0.0
Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, pecan bunches             0.0
Cereals ready-to-eat, GENERAL MILLS, Honey KIX                               0.0
Cereals, corn grits, yellow, regular and quick, enriched, cooked with        0.0
Cereals ready-to-eat, QUAKER, Oatmeal Squares                                0.0
Cereals ready-to-eat, QUAKER, HONEY GRAHAM OH!S                              0.0
Cereals ready-to-eat, MALT-O-MEAL, COCO-ROOS                                 0.0
Cereals ready-to-eat, chocolate-flavored frosted puffed corn                 0.0
Cereals ready-to-eat, GENERAL MILLS, OATMEAL CRISP, Crunchy Almond           0.0
Cereals, QUAKER, QUAKER MultiGrain Oatmeal, dry                              0.0
Cereals ready-to-eat, GENERAL MILLS, REESE'S PUFFS                           0.0
Cereals ready-to-eat, POST SELECTS Blueberry Morning                         0.0
Cereals ready-to-eat, POST, Shredded Wheat, lightly frosted, spoon-siz       0.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S Low Fat Granola without Raisi       0.0
Cereals, whole wheat hot natural cereal, cooked with water, with salt        0.0
Cereals, WHEATENA, cooked with water, with salt                              0.0
Cereals, oats, regular and quick and instant, unenriched, cooked with        0.0
Cereals, farina, enriched, cooked with water, with salt                      0.0
Cereals, farina, unenriched, dry                                             0.0
Cereals, CREAM OF WHEAT, regular (10 minute), cooked with water, with        0.0
Cereals, CREAM OF RICE, cooked with water, with salt                         0.0
Cereals ready-to-eat, QUAKER, Oatmeal Squares, cinnamon                      0.0
Cereals ready-to-eat, QUAKER, Toasted Multigrain Crisps                      0.0
Cereals ready-to-eat, QUAKER, QUAKER 100% Natural Granola with Oats, W       0.0
Cereals, QUAKER, QUAKER MultiGrain Oatmeal, prepared with water, no sa       0.0
Cereals ready-to-eat, GENERAL MILLS, FRANKENBERRY                            0.0
Cereals ready-to-eat, GENERAL MILLS, FROSTED CHEERIOS                        0.0
Cereals ready-to-eat, GENERAL MILLS, APPLE CINNAMON CHEERIOS                 0.0
Cereals ready-to-eat, GENERAL MILLS, BASIC 4                                 0.0
Cereals ready-to-eat, GENERAL MILLS, RAISIN NUT BRAN                         0.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S CRISPIX                             0.0
Cereals, QUAKER, QUAKER MultiGrain Oatmeal, prepared with water, salt        0.0
Cereals ready-to-eat, GENERAL MILLS, TOTAL Raisin Bran                       0.0
Cereals ready-to-eat, QUAKER, Low Fat 100% Natural Granola with Raisin       0.0
Cereals ready-to-eat, GENERAL MILLS, OATMEAL CRISP, Hearty Raisin            0.0
Cereals ready-to-eat, GENERAL MILLS, FIBER ONE Bran Cereal                   0.0
Cereals ready-to-eat, GENERAL MILLS, HONEY NUT CLUSTERS                      0.0
Cereals, Oat Bran, QUAKER, QUAKER/MOTHER'S Oat Bran, prepared with wat       0.0
Cereals ready-to-eat, GENERAL MILLS, Berry Burst CHEERIOS, Triple Berr       0.0
Cereals, QUAKER, Oat Bran, QUAKER/MOTHER'S Oat Bran, prepared with wat       0.0
Cereals, QUAKER, Instant Oatmeal, fruit and cream variety, dry               0.0
Cereals, corn grits, yellow, regular, quick, enriched, cooked with wat       0.0
Cereals, corn grits, white, regular and quick, enriched, cooked with w       0.0
Cereals ready-to-eat, GENERAL MILLS, Oat Cluster CHEERIOS Crunch             0.0
Cereals, corn grits, yellow, regular and quick, unenriched, dry              0.0
Cereals, CREAM OF WHEAT, instant, prepared with water, without salt          0.0
Cereals, CREAM OF WHEAT, instant, dry                                        0.0
Cereals, farina, enriched, assorted brands including CREAM OF WHEAT, q       0.0
Cereals, farina, enriched, assorted brands including CREAM OF WHEAT, q       0.0
Cereals, CREAM OF WHEAT, regular (10 minute), cooked with water, witho       0.0
Cereals, CREAM OF WHEAT, regular, 10 minute cooking, dry                     0.0
Cereals, CREAM OF RICE, cooked with water, without salt                      0.0
Cereals, CREAM OF RICE, dry                                                  0.0
Cereals, QUAKER, corn grits, instant, cheddar cheese flavor, dry             0.0
Cereals, QUAKER, corn grits, instant, plain, prepared (microwaved or b       0.0
Cereals, QUAKER, corn grits, instant, plain, dry                             0.0
Cereals, corn grits, white, regular and quick, enriched, cooked with w       0.0
Cereals, corn grits, white, regular and quick, enriched, dry                 0.0
Cereals ready-to-eat, GENERAL MILLS, WHEATIES                                0.0
Cereals ready-to-eat, GENERAL MILLS, Multi-Grain CHEERIOS                    0.0
Cereals ready-to-eat, SUN COUNTRY, KRETSCHMER Honey Crunch Wheat Germ        0.0
Cereals ready-to-eat, wheat germ, toasted, plain                             0.0
Cereals, farina, enriched, cooked with water, without salt                   0.0
Cereals, MALT-O-MEAL, original, plain, dry                                   0.0
Cereals, oats, regular and quick, not fortified, dry                         0.0
Cereals, WHEATENA, dry                                                       0.0
Cereals, corn grits, yellow, regular and quick, enriched, dry                0.0
Cereals ready-to-eat, POST, Shredded Wheat, original spoon-size              0.0
Cereals ready-to-eat, POST, Shredded Wheat, original big biscuit             0.0
Cereals ready-to-eat, QUAKER, QUAKER Puffed Wheat                            0.0
Cereals, whole wheat hot natural cereal, cooked with water, without sa       0.0
Cereals, whole wheat hot natural cereal, dry                                 0.0
Cereals, WHEATENA, cooked with water                                         0.0
Cereals ready-to-eat, MALT-O-MEAL, MARSHMALLOW MATEYS                        0.0
Cereals, oats, regular and quick, unenriched, cooked with water (inclu       0.0
Cereals, oats, instant, fortified, with raisins and spice, prepared wi       0.0
Cereals, oats, instant, fortified, with raisins and spice, dry               0.0
Cereals, QUAKER, Instant Oatmeal, maple and brown sugar, dry                 0.0
Cereals, oats, instant, fortified, with cinnamon and spice, prepared w       0.0
Cereals, oats, instant, fortified, with cinnamon and spice, dry              0.0
Cereals, oats, instant, fortified, plain, prepared with water (boiling       0.0
Cereals, oats, instant, fortified, plain, dry                                0.0
Cereals ready-to-eat, GENERAL MILLS, COUNT CHOCULA                           0.0
Cereals ready-to-eat, GENERAL MILLS, COCOA PUFFS                             0.0
Cereals ready-to-eat, GENERAL MILLS, CINNAMON TOAST CRUNCH                   0.0
Cereals ready-to-eat, GENERAL MILLS, BOO BERRY                               0.0
