|NDB_No|FdGrp_Cd|Long_Desc|SE
6572|20120|2000|Pasta, dry, enriched|63.2
4551|15070|1500|Fish, rockfish, Pacific, mixed species, raw (Sebastes spp.)|63.0
839|5017|500|Chicken, broilers or fryers, skin only, cooked, fried, flour|62.9
7716|25021|2500|Formulated bar, LUNA BAR, NUTZ OVER CHOCOLATE|62.5
3794|13333|1300|Beef, variety meats and by-products, spleen, raw|62.2
3721|12539|1200|Seeds, sunflower seed kernels, toasted, with salt added|62.2
8719|43378|1000|Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium|62.0
6542|20080|2000|Wheat flour, whole-grain|61.8
5314|17216|1700|Veal, variety meats and by-products, spleen, raw|61.7
8416|35188|3500|Fish, halibut, cooked, with skin (Alaska Native)|60.6
4603|15124|1500|Fish, tuna, white, canned in oil, drained solids|60.1
4662|15185|1500|Fish, tuna, white, canned in oil, without salt, drained solids|60.1
844|5022|500|Chicken, broilers or fryers, giblets, cooked, simmered|59.6
1827|8085|800|Cereals ready-to-eat, SUN COUNTRY, KRETSCHMER Honey Crunch Wheat Germ|59.3
4705|15228|1500|Crustaceans, spiny lobster, mixed species, cooked, moist heat|59.2
2690|10860|1000|Pork, cured, bacon, cooked, baked|59.0
4854|16118|1600|Soy flour, low-fat|58.9
4522|15041|1500|Fish, herring, Atlantic, pickled|58.5
3630|12041|1200|Seeds, sunflower seed flour, partially defatted|58.2
1709|7911|700|Liverwurst spread|58.0
1653|7041|700|Liver sausage, liverwurst, pork|58.0
1630|7014|700|Braunschweiger (a liver sausage), pork|58.0
4591|15110|1500|Fish, swordfish, raw (Xiphias gladius L.)|57.4
141|1160|100|Egg, yolk, raw, frozen, salted, pasteurized|56.9
996|5176|500|Turkey, heart, all classes, cooked, simmered|56.8
8411|35183|3500|Corn, dried, yellow (Northern Plains Indians)|56.5
114|1126|100|Egg, yolk, raw, frozen, pasteurized|56.4
949|5127|500|Chicken, stewing, giblets, raw|56.1
113|1125|100|Egg, yolk, raw, fresh|56.0
270|2021|200|Spices, ginger, ground (Zingiber officinale)|55.8
2773|10947|1000|Pork, fresh, loin, top loin (chops), boneless, separable lean only, with added solution, cooked, broiled|55.6
4518|15037|1500|Fish, halibut, Atlantic and Pacific, cooked, dry heat|55.4
959|5137|500|Chicken, capons, giblets, raw|55.3
842|5020|500|Chicken, broilers or fryers, giblets, raw|55.2
3609|12006|1200|Seeds, chia seeds, dried (Salvia hispanica)|55.2
5728|18222|1800|Crackers, melba toast, wheat|55.0
1815|8067|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K|54.9
849|5027|500|Chicken, liver, all classes, raw|54.6
4731|15262|1500|Fish, tilapia, cooked, dry heat|54.4
4864|16128|1600|Tofu, dried-frozen (koyadofu)|54.3
5014|16428|1600|Tofu, dried-frozen (koyadofu), prepared with calcium sulfate|54.3
937|5115|500|Chicken, roasting, giblets, raw|54.1
2613|10163|1000|Pork, fresh, loin, center loin (chops), boneless, separable lean only, cooked, pan-broiled|54.0
838|5016|500|Chicken, broilers or fryers, skin only, cooked, fried, batter|53.9
8108|28306|1800|Bread, chapati or roti, plain, commercially prepared|53.7
115|1127|100|Egg, yolk, raw, frozen, sugared, pasteurized|53.5
3625|12036|1200|Seeds, sunflower seed kernels, dried (Helianthus annuus)|53.0
5473|17376|1700|Lamb, New Zealand, imported, testes, cooked, soaked and fried|53.0
2776|10950|1000|Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, with added solution, cooked, broiled|52.9
2583|10110|1000|Pork, fresh, variety meats and by-products, liver, raw|52.7
4569|15088|1500|Fish, sardine, Atlantic, canned in oil, drained solids with bone (Clupea harengus harengus L.)|52.7
5618|18076|1800|Bread, whole-wheat, commercially prepared, toasted|52.6
4523|15042|1500|Fish, herring, Atlantic, kippered|52.6
1791|8029|800|Cereals ready-to-eat, POST Bran Flakes|52.5
5292|17194|1700|Veal, variety meats and by-products, heart, cooked, braised|52.4
2721|10891|1000|Pork, cured, ham with natural juices, shank, bone-in, separable lean only, unheated|52.3
1092|5627|500|Emu, full rump, cooked, broiled (Dromaius novaehollandiae)|52.1
1981|8500|800|Cereals ready-to-eat, MALT-O-MEAL, Frosted Mini SPOONERS|52.0
4653|15176|1500|Mollusks, squid, mixed species, cooked, fried|51.8
4634|15156|1500|Mollusks, abalone, mixed species, cooked, fried|51.8
4684|15207|1500|Fish, roe, mixed species, cooked, dry heat|51.7
4528|15047|1500|Fish, mackerel, Atlantic, cooked, dry heat|51.6
2670|10223|1000|Pork, fresh, loin, tenderloin, separable lean only, cooked, broiled|51.6
4594|15113|1500|Fish, tilefish, cooked, dry heat|51.5
4579|15098|1500|Fish, sheepshead, cooked, dry heat|51.3
1064|5339|500|Chicken, broiler, rotisserie, BBQ, wing, meat only|51.1
8379|35149|3500|Fish, halibut, raw, with skin (Alaska Native)|51.1
1070|5346|500|Chicken, broilers or fryers, wing, meat only, cooked, rotisserie, original seasoning|51.1
2705|10875|1000|Pork, cured, ham with natural juices, slice, bone-in, separable lean only, heated, pan-broil|51.0
2692|10862|1000|Pork, cured, bacon, pre-sliced, cooked, pan-fried|50.7
4638|15160|1500|Mollusks, clam, mixed species, canned, drained solids|50.5
2813|10998|1000|Canadian bacon, cooked, pan-fried|50.4
3790|13329|1300|Beef, variety meats and by-products, lungs, cooked, braised|50.3
4556|15075|1500|Fish, sablefish, smoked|50.2
2489|10011|1000|Pork, fresh, leg (ham), whole, separable lean only, cooked, roasted|49.9
2703|10873|1000|Pork, cured, ham with natural juices, rump, bone-in, separable lean only, heated, roasted|49.9
5313|17215|1700|Lamb, variety meats and by-products, spleen, cooked, braised|49.8
1094|5629|500|Emu, inside drums, cooked, broiled (Dromaius novaehollandiae)|49.6
2591|10118|1000|Pork, fresh, variety meats and by-products, spleen, cooked, braised|49.6
4629|15151|1500|Crustaceans, shrimp, mixed species, cooked, moist heat (may have been previously frozen)|49.5
5835|18348|1800|Rolls, dinner, whole-wheat|49.4
991|5171|500|Turkey, whole, giblets, raw|49.3
2797|10979|1000|Pork, ground, 96% lean / 4% fat, cooked, pan-broiled|49.1
4583|15102|1500|Fish, snapper, mixed species, cooked, dry heat|49.0
2704|10874|1000|Pork, cured, ham with natural juices, shank, bone-in, separable lean only, heated, roasted|48.7
1819|8073|800|Cereals ready-to-eat, POST, GOLDEN CRISP|48.6
2655|10208|1000|Pork, fresh, loin, country-style ribs, separable lean only, cooked, braised|48.6
3793|13332|1300|Beef, variety meats and by-products, pancreas, cooked, braised|48.5
2805|10987|1000|Pork, fresh, loin, country-style ribs, separable lean only, boneless, cooked, roasted|48.5
6700|21106|2100|Fast foods, fish sandwich, with tartar sauce and cheese|48.4
1065|5341|500|Chicken, broilers or fryers, back, meat only, cooked, rotisserie, original seasoning|48.3
2503|10025|1000|Pork, fresh, loin, whole, separable lean only, cooked, braised|48.2
2753|10925|1000|Pork, cured, ham with natural juices, slice, bone-in, separable lean and fat, heated, pan-broil|48.2
2504|10026|1000|Pork, fresh, loin, whole, separable lean only, cooked, broiled|48.2
5623|18081|1800|Bread stuffing, bread, dry mix|48.0
2774|10948|1000|Pork, fresh, loin, top loin (chops), boneless, separable lean only, with added solution, raw|47.9
1799|8039|800|Cereals ready-to-eat, POST, GRAPE-NUTS Flakes|47.8
2638|10189|1000|Pork, fresh, loin, center loin (chops), boneless, separable lean and fat, cooked, pan-broiled|47.8
2668|10221|1000|Pork, fresh, loin, tenderloin, separable lean and fat, cooked, broiled|47.7
2656|10209|1000|Pork, fresh, loin, country-style ribs, separable lean only, bone-in, cooked, roasted|47.6
4703|15226|1500|Crustaceans, crab, dungeness, cooked, moist heat|47.6
7073|22959|2200|Macaroni and cheese dinner with dry sauce mix, boxed, uncooked|47.5
8249|32016|2200|Macaroni or noodles with cheese, microwaveable, unprepared|47.5
4630|15152|1500|Crustaceans, shrimp, mixed species, canned|47.5
2519|10041|1000|Pork, fresh, loin, center loin (chops), bone-in, separable lean only, cooked, braised|47.4
2535|10057|1000|Pork, fresh, loin, sirloin (chops), bone-in, separable lean only, cooked, braised|47.4
2803|10985|1000|Pork, fresh, loin, country-style ribs, separable lean only, boneless, cooked, broiled|47.4
2648|10201|1000|Pork, fresh, loin, center rib (chops), boneless, separable lean only, cooked, broiled|47.3
2802|10984|1000|Pork, fresh, loin, blade (chops), boneless, separable lean only, boneless, cooked, broiled|47.2
1820|8074|800|Cereals ready-to-eat, RALSTON TASTEEOS|47.0
5290|17192|1700|Lamb, variety meats and by-products, heart, cooked, braised|47.0
2569|10094|1000|Pork, fresh, loin, center loin (chops), boneless, separable lean only, raw|46.9
4673|15196|1500|Fish, halibut, greenland, cooked, dry heat|46.8
4699|15222|1500|Fish, turbot, european, cooked, dry heat|46.8
4671|15194|1500|Fish, mahimahi, cooked, dry heat|46.8
4670|15193|1500|Fish, cusk, cooked, dry heat|46.8
4668|15191|1500|Fish, butterfish, cooked, dry heat|46.8
4666|15189|1500|Fish, bluefish, cooked, dry heat|46.8
4665|15188|1500|Fish, bass, striped, cooked, dry heat|46.8
4701|15224|1500|Fish, wolffish, Atlantic, cooked, dry heat|46.8
4599|15118|1500|Fish, tuna, fresh, bluefin, cooked, dry heat|46.8
4513|15032|1500|Fish, grouper, mixed species, cooked, dry heat|46.8
4674|15197|1500|Fish, herring, Pacific, cooked, dry heat|46.8
4521|15040|1500|Fish, herring, Atlantic, cooked, dry heat|46.8
4697|15220|1500|Fish, tuna, skipjack, fresh, cooked, dry heat|46.8
4683|15206|1500|Fish, pout, ocean, cooked, dry heat|46.8
4692|15215|1500|Fish, shad, american, cooked, dry heat|46.8
4691|15214|1500|Fish, seatrout, mixed species, cooked, dry heat|46.8
4573|15092|1500|Fish, sea bass, mixed species, cooked, dry heat|46.8
4690|15213|1500|Fish, scup, cooked, dry heat|46.8
4675|15198|1500|Fish, ling, cooked, dry heat|46.8
4688|15211|1500|Fish, salmon, chum, cooked, dry heat|46.8
4687|15210|1500|Fish, salmon, chinook, cooked, dry heat|46.8
4581|15100|1500|Fish, smelt, rainbow, cooked, dry heat|46.8
4685|15208|1500|Fish, sablefish, cooked, dry heat|46.8
4686|15209|1500|Fish, salmon, Atlantic, wild, cooked, dry heat|46.8
4682|15205|1500|Fish, pollock, Atlantic, cooked, dry heat|46.8
4537|15056|1500|Fish, mullet, striped, cooked, dry heat|46.8
4676|15199|1500|Fish, lingcod, cooked, dry heat|46.8
4677|15200|1500|Fish, mackerel, king, cooked, dry heat|46.8
4702|15225|1500|Fish, yellowtail, mixed species, cooked, dry heat|46.8
4678|15201|1500|Fish, mackerel, Pacific and jack, mixed species, cooked, dry heat|46.8
4693|15216|1500|Fish, spot, cooked, dry heat|46.8
4550|15069|1500|Fish, pompano, florida, cooked, dry heat|46.8
4680|15203|1500|Fish, monkfish, cooked, dry heat|46.8
7715|25020|2500|Formulated bar, SLIM-FAST OPTIMA meal bar, milk chocolate peanut|46.7
2794|10976|1000|Pork, ground, 96% lean / 4% fat, cooked, crumbles|46.7
2731|10903|1000|Pork, cured, ham with natural juices, shank, bone-in, separable lean and fat, unheated|46.6
1109|5652|500|Ostrich, oyster, cooked (Struthio camelus)|46.5
2722|10892|1000|Pork, cured, ham with natural juices, slice, bone-in, separable lean only, unheated|46.5
2537|10059|1000|Pork, fresh, loin, sirloin (roasts), bone-in, separable lean only, cooked, roasted|46.4
2652|10205|1000|Pork, fresh, loin, country-style ribs, separable lean and fat, cooked, braised|46.3
4563|15082|1500|Fish, salmon, coho, wild, cooked, moist heat|46.2
2751|10923|1000|Pork, cured, ham with natural juices, rump, bone-in, separable lean and fat, heated, roasted|46.2
4632|15154|1500|Crustaceans, spiny lobster, mixed species, raw (Jasus spp. and Panulirus spp.)|46.2
5852|18367|1800|Waffles, plain, prepared from recipe|46.2
3015|11268|1100|Mushrooms, shiitake, dried (Lentinus edodes)|46.1
1661|7053|700|Pate, chicken liver, canned|46.1
1089|5624|500|Emu, fan fillet, cooked, broiled (Dromaius novaehollandiae)|46.1
2662|10215|1000|Pork, fresh, loin, sirloin (chops), boneless, separable lean only, cooked, braised|46.1
8127|28325|1800|Crackers, toast thins, low sodium|46.1
2612|10158|1000|USDA Commodity, pork, canned|46.0
2664|10217|1000|Pork, fresh, loin, sirloin (roasts), boneless, separable lean only, cooked, roasted|45.9
2663|10216|1000|Pork, fresh, loin, sirloin (chops), boneless, separable lean only, cooked, broiled|45.9
2520|10042|1000|Pork, fresh, loin, center loin (chops), bone-in, separable lean only, cooked, broiled|45.7
2769|10943|1000|Pork, fresh, loin, tenderloin, separable lean only, with added solution, cooked, roasted|45.7
4517|15036|1500|Fish, halibut, Atlantic and Pacific, raw (Hippoglossus hippoglossus (L.) and H. stenolepis Schmidt)|45.6
2801|10983|1000|Pork, fresh, loin, blade (roasts), boneless, separable lean only, cooked, roasted|45.6
2658|10211|1000|Pork, fresh, loin, sirloin (chops), boneless, separable lean and fat, cooked, braised|45.5
2676|10229|1000|Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean only, cooked|45.4
2778|10952|1000|Pork, fresh, loin, tenderloin, separable lean and fat, with added solution, cooked, roasted|45.4
2528|10050|1000|Pork, fresh, loin, center rib (chops), bone-in, separable lean only, cooked, broiled|45.4
2649|10202|1000|Pork, fresh, loin, center rib (chops), boneless, separable lean only, cooked, pan-fried|45.4
2527|10049|1000|Pork, fresh, loin, center rib (chops), bone-in, separable lean only, cooked, braised|45.4
2647|10200|1000|Pork, fresh, loin, center rib (chops), boneless, separable lean only, cooked, braised|45.4
2500|10022|1000|Pork, fresh, loin, whole, separable lean and fat, cooked, broiled|45.3
2546|10068|1000|Pork, fresh, loin, top loin (chops), boneless, separable lean only, cooked, broiled|45.3
2499|10021|1000|Pork, fresh, loin, whole, separable lean and fat, cooked, braised|45.3
2487|10009|1000|Pork, fresh, leg (ham), whole, separable lean and fat, cooked, roasted|45.3
2771|10945|1000|Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean only, with added solution cooked, braised|45.3
2711|10881|1000|Pork, cured, ham and water product, shank, bone-in, separable lean only, heated, roasted|45.3
2979|11230|1100|Pepeao, dried|45.3
2536|10058|1000|Pork, fresh, loin, sirloin (chops), bone-in, separable lean only, cooked, broiled|45.3
2659|10212|1000|Pork, fresh, loin, sirloin (chops), boneless, separable lean and fat, cooked, broiled|45.3
6501|20033|2000|Oat bran, raw|45.2
2521|10043|1000|Pork, fresh, loin, center loin (roasts), bone-in, separable lean only, cooked, roasted|45.2
2563|10085|1000|Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean only, cooked, braised|45.0
4640|15163|1500|Mollusks, cuttlefish, mixed species, raw (Sepiidae)|44.8
4652|15175|1500|Mollusks, squid, mixed species, raw (Loligoidae and Ommastrephidae)|44.8
8394|35166|3500|Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)|44.8
4643|15166|1500|Mollusks, octopus, common, raw (Octopus vulgaris Lamarck)|44.8
4633|15155|1500|Mollusks, abalone, mixed species, raw (Haliotis spp.)|44.8
4654|15177|1500|Mollusks, whelk, unspecified, raw (Buccinidae)|44.8
7140|23050|1300|"Beef, round, outside round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled"|44.8
4641|15164|1500|Mollusks, mussel, blue, raw (Mytilus edulis L.)|44.8
2660|10213|1000|Pork, fresh, loin, sirloin (roasts), boneless, separable lean and fat, cooked, roasted|44.7
2809|10991|1000|Pork, fresh, loin, country-style ribs, separable lean and fat, boneless, cooked, broiled|44.7
2806|10988|1000|Pork, fresh, blade, (chops), boneless, separable lean and fat, cooked, broiled|44.6
2752|10924|1000|Pork, cured, ham with natural juices, shank, bone-in, separable lean and fat, heated, roasted|44.5
2533|10055|1000|Pork, fresh, loin, sirloin (roasts), bone-in, separable lean and fat, cooked, roasted|44.4
4704|15227|1500|Crustaceans, crab, queen, cooked, moist heat|44.4
7130|23040|1300|"Beef, chuck, shoulder clod, shoulder top and center steaks, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled"|44.3
3789|13328|1300|Beef, variety meats and by-products, lungs, raw|44.3
2511|10033|1000|Pork, fresh, loin, blade (chops), bone-in, separable lean only, cooked, braised|44.3
2568|10093|1000|Pork, fresh, composite of trimmed retail cuts (leg, loin, and shoulder), separable lean only, cooked|44.2
2515|10037|1000|Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, braised|44.1
994|5174|500|Turkey, gizzard, all classes, cooked, simmered|44.1
4527|15046|1500|Fish, mackerel, Atlantic, raw (Scomber scombrus L.)|44.1
4548|15067|1500|Fish, pollock, Alaska, cooked, dry heat (may have been previously frozen)|44.1
2531|10053|1000|Pork, fresh, loin, sirloin (chops), bone-in, separable lean and fat, cooked, braised|44.1
2643|10196|1000|Pork, fresh, loin, center rib (chops), boneless, separable lean and fat, cooked, broiled|44.0
5595|18042|1800|Bread, pita, whole-wheat|44.0
1025|5282|500|Pate de foie gras, canned (goose liver pate), smoked|44.0
1662|7054|700|Pate, goose liver, smoked, canned|44.0
5770|18267|1800|English muffins, whole-wheat, toasted|43.8
2811|10993|1000|Pork, fresh, loin, country-style ribs, separable lean and fat, boneless, cooked, roasted|43.8
2730|10902|1000|Pork, cured, ham with natural juices, slice, bone-in, separable lean and fat, unheated|43.7
2808|10990|1000|Pork, fresh, loin, blade (roasts), boneless, separable lean and fat, cooked, roasted|43.7
2625|10176|1000|Pork, fresh, loin, center loin (chops), bone-in, separable lean only, cooked, pan-fried|43.7
7154|23064|1300|"Beef, round, outside round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled"|43.6
2516|10038|1000|Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, broiled|43.6
2542|10064|1000|Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, broiled|43.6
2796|10978|1000|Pork, ground, 84% lean / 16% fat, cooked, pan-broiled|43.5
1097|5632|500|Emu, top loin, cooked, broiled (Dromaius novaehollandiae)|43.5
1087|5622|500|Emu, ground, cooked, pan-broiled (Dromaius novaehollandiae)|43.5
3595|11988|1100|Fungi, Cloud ears, dried|43.4
2707|10877|1000|Pork, cured, ham and water product, rump, bone-in, separable lean only, heated, roasted|43.4
4657|15180|1500|Fish, salmon, chum, canned, without salt, drained solids with bone|43.3
159|1185|100|Parmesan cheese topping, fat free|43.3
3863|13413|1300|"Beef, round, bottom round, steak, separable lean only, trimmed to 0"" fat, select, cooked, braised"|43.3
7636|23593|1300|"Beef, round, bottom round, steak, separable lean only, trimmed to 1/8"" fat, select, cooked, braised"|43.3
4561|15080|1500|Fish, salmon, chum, canned, drained solids with bone|43.3
2650|10203|1000|Pork, fresh, loin, center rib (roasts), boneless, separable lean only, cooked, roasted|43.2
8242|32009|2200|Pasta mix, classic beef, unprepared|43.2
2529|10051|1000|Pork, fresh, loin, center rib (roasts), bone-in, separable lean only, cooked, roasted|43.1
